,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes your relationship with Italy or Germany?,1.0,0.44586665232192285,0.5372023029358272,-0.057525170788206986,0.08043165230833221,0.1158737939707876,-0.21005607071033075,0.2867652471197802,0.35126807664238197,-0.03478617861901039,0.16198531885407663,0.10148825945738199,-0.15807333548671146,-0.33480804912013157,-0.2211263977350007,-0.18193545161723684,0.019678898708862757,-0.039994158507251173,-0.031356535608428306,-0.051597343144453064,-0.06538232776535081,-0.11906873180569119,-0.07705947358121448,-0.02286738297061868,-0.001714408596301635,-0.0404409988863174,-0.016310031779046587,0.8236260652903169,0.22892884627441953,0.24456549255543245,0.07018005042672368,-0.005170912847597629,0.17837835817022915,-0.3297101478458073,-0.08598207562069708,-0.0695160689970929,-0.023951859622073503,-0.09323476891324375,-0.09561412238731873,-0.41644058098153586,-0.2210471840907114,-0.1307892113701349,-0.056284534340681015,-0.23389957518951796,-0.06911880234307904,-0.23584672436258208
Which picture best describes your relationship with Italian or German language?,0.44586665232192285,1.0,0.40743690999012355,0.10945858856160037,0.1866198903146646,0.09792649595487259,-0.5201825941588415,0.27831616499060874,-0.0014739978502073684,0.00846628499095322,0.06957194570541476,0.41325476915974463,0.03565697677862429,-0.14052504751336076,-0.012429687110324788,-0.03659290484530066,-0.09619690237807442,-0.08236298107949597,0.17229750489789356,-0.011819104204205493,0.1585630247753841,0.09015699145128846,0.2841003329174895,0.07339476744161769,-0.004172539883210192,0.13183849014084698,-0.08775917820383851,0.7770713056719328,0.22335038403004223,-0.058848684310546275,0.105588364847096,-0.03725161364788876,0.5350118842234401,-0.22095049616016263,0.06949348731991814,-0.07755511445293652,-0.04440282148203147,0.042847721147345856,-0.25240519553143986,-0.269289872753019,-0.17829848346358904,-0.0732126147990234,-0.0315067113614209,-0.2243775388876996,-0.030029682884524973,-0.16999565083891202
Which picture best describes your relationship with Italian or German Culture?,0.5372023029358272,0.40743690999012355,1.0,-0.16797193236875704,0.33489044576869437,-0.022833322431800338,-0.1405612099216181,0.3076549955694883,0.35663471128741575,-0.20395553714172557,0.10201803773595759,0.13234119109716444,0.061917904761858544,-0.3240066275619494,-0.18032589975488714,-0.24289268369151035,-0.23310764031777728,-0.12704839045674923,0.05810553069143414,-0.04332787470884216,3.6789520101373966e-17,-0.1011759789076256,-0.005092854343514176,0.007650973873836904,-0.1162510579794363,0.06266877406534088,-0.033037057202595824,0.80354036683082,0.26024064482413434,0.30631003957738917,0.330155069655543,0.06643526875921327,0.1564768333745015,-0.2324544264479882,-0.06767683196783444,0.17384605859425165,0.1582302847968821,0.07249673571594689,0.019045562624504023,-0.19526929534100199,-0.08922762194267976,0.020004334742175483,0.03013070641585381,-0.024408006168349646,0.15085910647901593,-0.033007957066911474
I see myself as someone who  [... is reserved ],-0.057525170788206986,0.10945858856160037,-0.16797193236875704,1.0,0.02403155010419996,-0.06053370793573357,0.026477307666572022,-0.18660447800446128,-0.5394657536503064,-0.23385358667337133,-0.037959480900056373,0.20992770401744715,0.0777558955923155,0.1420865931763123,-0.08765864155871365,0.049840235681214845,0.18014417303072305,0.1930311065896889,0.29457594659801506,0.18136906252750293,0.058952013688309386,-0.0790569415042094,0.14709779665278724,-0.12490423027106054,-0.07939640314846452,-0.08108364290239865,-0.16990164662355545,-0.04557126843010984,0.04557521527964228,-0.8582493041983399,0.16441252113983942,0.025492120149846084,0.10580880572920158,0.20139801832986565,-0.12497402191335023,-0.05685264841632778,0.03654327077276233,-0.009337506402029997,-0.3308550171493268,-0.1498549921262496,-0.09426526977188722,-0.1318865454239905,-0.2669670151172865,-0.2758620059719283,-0.01109376559036201,-0.1903985710639518
I see myself as someone who  [... is generally trusting],0.08043165230833221,0.1866198903146646,0.33489044576869437,0.02403155010419996,1.0,-0.13883632392567055,0.07239574707922986,0.2977806616896719,0.15654880951966665,-0.3063866696517318,-0.041354207578787244,0.16592076540634088,-0.15945341447028696,-0.03642198488588421,0.10111550576084835,-0.03781658493968645,-0.18086200430921995,0.1767175889401637,0.006927575897406595,0.19758894701116045,0.16533818876806383,-0.11145850324946914,0.0426247836904119,-0.10015736251466262,-0.3427047674032239,0.10636875893489266,0.043551999291947203,0.24920706175206558,0.3613055511230126,0.08269904039312477,0.7915918392936429,0.08079094508556675,0.05424532514873347,-0.33991733322200784,-0.07725060399584549,0.051298406259056455,-0.0011709219233959195,-0.056248284739134125,-0.07970117859011115,-0.13968476127598461,-0.1449817954309789,-0.09015290665035347,0.10992451567805145,-0.07228492194240908,-0.0017499922617700702,-0.07466130595463494
I see myself as someone who  [... tends to be lazy],0.1158737939707876,0.09792649595487259,-0.022833322431800338,-0.06053370793573357,-0.13883632392567055,1.0,-0.21035335721068418,0.1639867614948079,-0.0036896836665280645,0.0953669033459172,-0.32701722442369097,0.3602745079533298,-0.15737219700894822,-0.13666535609476924,-0.33000444122197875,-0.21111054519836298,-0.10152300147633408,-0.15556423156954313,0.0995571523390155,0.13868137085832805,0.18902815115114788,-0.12089961618462786,-0.2808104366927498,0.15629294691869858,-0.06162327732827242,0.07812747145077589,-0.022289976984398104,0.08053169873812022,0.3306165431708291,0.0297991323836806,-0.14381399786687993,-0.8871117120858556,0.3276163406654508,-0.22363099092304178,-0.027018382724656242,-0.19413450230776336,-0.469741307480968,-0.23259870202935587,-0.04009809524750313,-0.20740964287513883,-0.16706531101144229,-0.1713124103076147,0.16116301364716376,-0.10083171116954687,-0.3333917030482789,-0.15968641050516735
"I see myself as someone who  [... is relaxed, handles stress well]",-0.21005607071033075,-0.5201825941588415,-0.1405612099216181,0.026477307666572022,0.07239574707922986,-0.21035335721068418,1.0,-0.2711786895518379,0.0681407274755078,0.01956918791358326,-0.039309203204251034,-0.5204234810708784,0.05964493030548384,0.061071365751975484,0.02261746789683655,-0.06356145390814207,0.21293028913984516,0.29767868536678116,-0.21439166136603127,0.032441288862233034,-0.1545247691618193,0.08186796301239643,0.016055667093026974,-0.03296449448563044,0.0038578062108098857,-0.16044978978040605,0.18251433418869903,-0.3660927415879915,0.05330012928081024,0.02751637731417748,0.03050745627197708,0.13381078876621952,-0.8706655124772464,0.26472876044753235,0.08172715141074828,-0.011418017668957364,0.10206044525274248,-0.1470939010160088,0.19413837290361474,0.30096169581214777,0.150472026227502,0.1839407744670191,-0.20581096785106506,0.09541597418918661,-0.01992363626387083,0.11113657220022599
I see myself as someone who  [... has few artistic interests],0.2867652471197802,0.27831616499060874,0.3076549955694883,-0.18660447800446128,0.2977806616896719,0.1639867614948079,-0.2711786895518379,1.0,0.2785032479830772,-0.02622385064903236,0.10694950105943522,0.15007293378173853,0.017438766042469234,0.08763310875104678,0.05488336367539993,0.07846927187367657,-0.12751874729646145,0.013915352164362293,0.25911307384315496,0.25778853820432357,0.230987562296261,-0.11303231465211397,0.04805134648592716,0.009696806562370054,0.31793561708558155,0.3169020971855315,-0.036554050587163496,0.36282891764914343,0.5773854697625125,0.2685507380839588,0.19398799153320656,-0.06704793477832227,0.2412586095061054,-0.8518614304143853,-0.02462031432019446,0.09792517220634679,-0.1836365041288282,0.02905670255617925,-0.17433182116034465,-0.20165309354965794,-0.10351317523367565,-0.11831584433712264,0.2404398698653785,-0.0955535010382532,-0.02124423196635777,-0.06591198337830163
"I see myself as someone who  [... is ongoing, sociable]",0.35126807664238197,-0.0014739978502073684,0.35663471128741575,-0.5394657536503064,0.15654880951966665,-0.0036896836665280645,0.0681407274755078,0.2785032479830772,1.0,0.1805503080526393,0.15661039877898525,0.002532468082400794,-0.08004353551187163,-0.07791205242001276,-0.04300386963825299,0.14083654787264344,0.013582335719039797,-0.019959733361003356,-0.006259595033165228,-0.0039383103599597595,0.17670460073870442,-0.3004171951788637,-0.00740668353852458,-0.23598575783157658,-0.011122844347912724,-0.04488003203170518,-0.16587563592914165,0.2902680691419455,0.4309341535841292,0.8951421805080358,-0.02276591994781891,0.07917366427132697,-0.03744186340217281,-0.2817209266322584,-0.28636508177703274,0.10205348887322668,0.06678735946115949,-0.05136531784416763,0.19158133124073112,-0.06310793637204012,0.04737499081612018,0.11879590787355362,0.1971897613258568,0.12246554884358009,0.04447271098537782,0.09204846531340755
I see myself as someone who  [... tends to find fault with others],-0.03478617861901039,0.00846628499095322,-0.20395553714172557,-0.23385358667337133,-0.3063866696517318,0.0953669033459172,0.01956918791358326,-0.02622385064903236,0.1805503080526393,1.0,0.01578126356753334,0.009697253634881092,0.14367205980652362,-0.0071601259383124215,-0.10528029254655552,-0.033152904176919476,-0.02496436206313653,-0.04585754068879089,-0.1168491699507203,-0.18096557134354563,-0.1268685287478523,0.18781205660633699,0.09217474069581871,0.03195547595439497,0.45146750770345295,0.11897537702443152,-0.07227753242640723,-0.09382674924445782,0.280976474986913,0.23385990866379364,-0.8241962475607693,-0.061661594933786076,-0.005585894878905096,0.09784080877455655,0.09597431974716412,-0.16639676095649844,-0.03798122195105168,-0.20962649881922765,-0.05303115904119942,-0.1812383153888108,-0.1360552098622905,-0.20887799657217834,-0.16779407523587792,-0.19709137289796955,-0.15326425834455343,-0.20955151508002143
