,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes your relationship with Italy or Germany?,1.0,0.44586665232192285,0.5372023029358272,-0.057525170788206986,0.08043165230833221,0.1158737939707876,-0.21005607071033075,0.2867652471197802,0.35126807664238197,-0.03478617861901039,0.16198531885407663,0.10148825945738199,-0.15807333548671146,-0.33480804912013157,-0.2211263977350007,-0.18193545161723684,0.019678898708862757,-0.039994158507251173,-0.031356535608428306,-0.051597343144453064,-0.06538232776535081,-0.11906873180569119,-0.07705947358121448,-0.02286738297061868,-0.001714408596301635,-0.0404409988863174,-0.016310031779046587,0.8236260652903169,0.22892884627441953,0.24456549255543245,0.07018005042672368,-0.005170912847597629,0.17837835817022915,-0.3297101478458073,-0.08598207562069708,-0.04194061585770946,-0.01166861143523921,-0.26252897474284553,-0.13401731168011852,-0.3729815423400726,-0.3069035390812961,-0.08431716689450988,-0.11898102795980237,-0.17555467075223802,-0.12140363508718584,-0.245782610146452
Which picture best describes your relationship with Italian or German language?,0.44586665232192285,1.0,0.40743690999012355,0.10945858856160037,0.1866198903146646,0.09792649595487259,-0.5201825941588415,0.27831616499060874,-0.0014739978502073684,0.00846628499095322,0.06957194570541476,0.41325476915974463,0.03565697677862429,-0.14052504751336076,-0.012429687110324788,-0.03659290484530066,-0.09619690237807442,-0.08236298107949597,0.17229750489789356,-0.011819104204205493,0.1585630247753841,0.09015699145128846,0.2841003329174895,0.07339476744161769,-0.004172539883210192,0.13183849014084698,-0.08775917820383851,0.7770713056719328,0.22335038403004223,-0.058848684310546275,0.105588364847096,-0.03725161364788876,0.5350118842234401,-0.22095049616016263,0.06949348731991814,0.06498319351635633,0.01135965993176884,-0.10523798242360279,-0.2204238002582683,-0.18155302819555116,-0.2752912256440434,-0.10588051657407184,-0.01877099113384707,0.006149240756783853,-0.013132134841931422,-0.12855044329436033
Which picture best describes your relationship with Italian or German Culture?,0.5372023029358272,0.40743690999012355,1.0,-0.16797193236875704,0.33489044576869437,-0.022833322431800338,-0.1405612099216181,0.3076549955694883,0.35663471128741575,-0.20395553714172557,0.10201803773595759,0.13234119109716444,0.061917904761858544,-0.3240066275619494,-0.18032589975488714,-0.24289268369151035,-0.23310764031777728,-0.12704839045674923,0.05810553069143414,-0.04332787470884216,3.6789520101373966e-17,-0.1011759789076256,-0.005092854343514176,0.007650973873836904,-0.1162510579794363,0.06266877406534088,-0.033037057202595824,0.80354036683082,0.26024064482413434,0.30631003957738917,0.330155069655543,0.06643526875921327,0.1564768333745015,-0.2324544264479882,-0.06767683196783444,0.05059605707039446,0.07495846087476649,-0.2834404046161902,-0.13593460771416346,-0.2290899237881996,-0.23712559543365933,0.0432166299954529,-0.09063165963905724,0.004663989613958904,-0.06418845097565291,-0.1212682236105976
I see myself as someone who  [... is reserved ],-0.057525170788206986,0.10945858856160037,-0.16797193236875704,1.0,0.02403155010419996,-0.06053370793573357,0.026477307666572022,-0.18660447800446128,-0.5394657536503064,-0.23385358667337133,-0.037959480900056373,0.20992770401744715,0.0777558955923155,0.1420865931763123,-0.08765864155871365,0.049840235681214845,0.18014417303072305,0.1930311065896889,0.29457594659801506,0.18136906252750293,0.058952013688309386,-0.0790569415042094,0.14709779665278724,-0.12490423027106054,-0.07939640314846452,-0.08108364290239865,-0.16990164662355545,-0.04557126843010984,0.04557521527964228,-0.8582493041983399,0.16441252113983942,0.025492120149846084,0.10580880572920158,0.20139801832986565,-0.12497402191335023,-0.021179343552183833,0.03922170735559563,-0.05190816040651331,-0.2318220706220951,-0.1184601238829742,-0.13470999533005354,-0.0964818110963708,-0.14964478885577903,-0.11713984536828691,-0.01343453753129838,-0.13173748338826674
I see myself as someone who  [... is generally trusting],0.08043165230833221,0.1866198903146646,0.33489044576869437,0.02403155010419996,1.0,-0.13883632392567055,0.07239574707922986,0.2977806616896719,0.15654880951966665,-0.3063866696517318,-0.041354207578787244,0.16592076540634088,-0.15945341447028696,-0.03642198488588421,0.10111550576084835,-0.03781658493968645,-0.18086200430921995,0.1767175889401637,0.006927575897406595,0.19758894701116045,0.16533818876806383,-0.11145850324946914,0.0426247836904119,-0.10015736251466262,-0.3427047674032239,0.10636875893489266,0.043551999291947203,0.24920706175206558,0.3613055511230126,0.08269904039312477,0.7915918392936429,0.08079094508556675,0.05424532514873347,-0.33991733322200784,-0.07725060399584549,-0.16558570560347138,-0.24933812215582976,-0.35482554528027865,-0.3187312277521867,-0.24967318492540977,-0.2071865601478871,-0.3287270156997962,-0.19233740647877576,-0.13111886943103157,-0.28927607458189986,-0.274409066294173
I see myself as someone who  [... tends to be lazy],0.1158737939707876,0.09792649595487259,-0.022833322431800338,-0.06053370793573357,-0.13883632392567055,1.0,-0.21035335721068418,0.1639867614948079,-0.0036896836665280645,0.0953669033459172,-0.32701722442369097,0.3602745079533298,-0.15737219700894822,-0.13666535609476924,-0.33000444122197875,-0.21111054519836298,-0.10152300147633408,-0.15556423156954313,0.0995571523390155,0.13868137085832805,0.18902815115114788,-0.12089961618462786,-0.2808104366927498,0.15629294691869858,-0.06162327732827242,0.07812747145077589,-0.022289976984398104,0.08053169873812022,0.3306165431708291,0.0297991323836806,-0.14381399786687993,-0.8871117120858556,0.3276163406654508,-0.22363099092304178,-0.027018382724656242,-0.2605514325685689,-0.2104211227935773,-0.24931742890822553,0.0919601177858543,0.03399504849143831,-0.021203194243348985,-0.006830879267857707,-0.03495388642678681,-0.012473365400572832,-0.26845558694664307,-0.04634193104422826
"I see myself as someone who  [... is relaxed, handles stress well]",-0.21005607071033075,-0.5201825941588415,-0.1405612099216181,0.026477307666572022,0.07239574707922986,-0.21035335721068418,1.0,-0.2711786895518379,0.0681407274755078,0.01956918791358326,-0.039309203204251034,-0.5204234810708784,0.05964493030548384,0.061071365751975484,0.02261746789683655,-0.06356145390814207,0.21293028913984516,0.29767868536678116,-0.21439166136603127,0.032441288862233034,-0.1545247691618193,0.08186796301239643,0.016055667093026974,-0.03296449448563044,0.0038578062108098857,-0.16044978978040605,0.18251433418869903,-0.3660927415879915,0.05330012928081024,0.02751637731417748,0.03050745627197708,0.13381078876621952,-0.8706655124772464,0.26472876044753235,0.08172715141074828,-0.24059195536285266,-0.0840224282841324,-0.07384367934992886,-0.1650694531690925,-0.08260754294702183,-0.1317127941572148,-0.202347855258726,-0.4434016356645002,-0.23280753300063267,-0.14671077153642173,-0.24475952728130246
I see myself as someone who  [... has few artistic interests],0.2867652471197802,0.27831616499060874,0.3076549955694883,-0.18660447800446128,0.2977806616896719,0.1639867614948079,-0.2711786895518379,1.0,0.2785032479830772,-0.02622385064903236,0.10694950105943522,0.15007293378173853,0.017438766042469234,0.08763310875104678,0.05488336367539993,0.07846927187367657,-0.12751874729646145,0.013915352164362293,0.25911307384315496,0.25778853820432357,0.230987562296261,-0.11303231465211397,0.04805134648592716,0.009696806562370054,0.31793561708558155,0.3169020971855315,-0.036554050587163496,0.36282891764914343,0.5773854697625125,0.2685507380839588,0.19398799153320656,-0.06704793477832227,0.2412586095061054,-0.8518614304143853,-0.02462031432019446,-0.0961877898788738,-0.22518988730878425,-0.17462616656818944,-0.09996659287596026,-0.1195548281592402,-0.0023851730987027994,-0.06423940318022589,0.042543006867049676,-0.003283954133103629,-0.18530206538570135,-0.058282220744501144
"I see myself as someone who  [... is ongoing, sociable]",0.35126807664238197,-0.0014739978502073684,0.35663471128741575,-0.5394657536503064,0.15654880951966665,-0.0036896836665280645,0.0681407274755078,0.2785032479830772,1.0,0.1805503080526393,0.15661039877898525,0.002532468082400794,-0.08004353551187163,-0.07791205242001276,-0.04300386963825299,0.14083654787264344,0.013582335719039797,-0.019959733361003356,-0.006259595033165228,-0.0039383103599597595,0.17670460073870442,-0.3004171951788637,-0.00740668353852458,-0.23598575783157658,-0.011122844347912724,-0.04488003203170518,-0.16587563592914165,0.2902680691419455,0.4309341535841292,0.8951421805080358,-0.02276591994781891,0.07917366427132697,-0.03744186340217281,-0.2817209266322584,-0.28636508177703274,-0.014563359670792793,-0.07570432686258227,-0.05009563080238275,0.14277869860726988,0.0838374036350492,0.08878054326422588,0.13734146608580786,0.1250957561112587,0.04804606096500538,-0.05250999243543143,0.09338299911710406
I see myself as someone who  [... tends to find fault with others],-0.03478617861901039,0.00846628499095322,-0.20395553714172557,-0.23385358667337133,-0.3063866696517318,0.0953669033459172,0.01956918791358326,-0.02622385064903236,0.1805503080526393,1.0,0.01578126356753334,0.009697253634881092,0.14367205980652362,-0.0071601259383124215,-0.10528029254655552,-0.033152904176919476,-0.02496436206313653,-0.04585754068879089,-0.1168491699507203,-0.18096557134354563,-0.1268685287478523,0.18781205660633699,0.09217474069581871,0.03195547595439497,0.45146750770345295,0.11897537702443152,-0.07227753242640723,-0.09382674924445782,0.280976474986913,0.23385990866379364,-0.8241962475607693,-0.061661594933786076,-0.005585894878905096,0.09784080877455655,0.09597431974716412,-0.0528305648327014,-0.052179267928515655,0.04932636236669903,-0.0911206781291726,-0.043776513339741814,-0.10611339981031115,-0.2607235808508241,-0.084119365951467,-0.2792115290583073,-0.019149499654047494,-0.164305509278239
