,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
8,7,7,7,3,2,4,4,1,5,2,3,3,5,0.6,0.4,0.3,0.8,0.8,0.8,0.3,0.3,0.8,0.3,0.6,0.4,0.5,0.8,7.0,3.2,2,0,-1,-1,4,0.425189393939394,1,1,1,2,4,4,3,3,2,1.0,2.8333333333333335
13,6,7,6,1,4,5,5,1,4,2,4,1,5,0.9,0.9,0.7,1.0,0.9,1.0,0.9,0.9,0.1,0.9,0.1,1.0,1.0,0.0,6.333333333333333,3.2,3,2,-1,-4,4,0.1606060606060606,2,2,5,7,9,9,5,9,7,3.0,7.0
21,7,7,6,4,3,3,4,5,4,3,4,4,5,0.3,0.3,0.3,0.5,0.3,0.7,0.5,0.4,0.6,0.5,0.5,0.7,0.5,0.1,6.666666666666667,3.9,0,0,1,0,0,0.26875000000000004,3,2,4,8,9,9,7,9,8,3.0,7.5
24,2,5,2,5,3,4,1,2,1,2,4,5,5,0.5,0.9,0.8,1.0,0.7,0.9,0.5,0.5,0.8,0.8,0.8,0.9,0.9,0.3,3.0,3.2,-4,1,0,4,3,0.42689393939393944,1,2,3,4,4,6,5,5,4,2.0,4.333333333333333
33,6,7,5,4,1,2,4,4,4,2,3,2,4,0.9,0.8,0.1,0.8,0.1,0.8,0.9,0.7,0.5,0.7,0.5,0.8,0.7,0.5,6.0,3.0,0,-1,1,-2,0,0.34488636363636366,1,1,1,3,3,8,1,7,4,1.0,4.0
41,7,7,7,3,2,4,4,4,3,4,4,1,3,0.7,0.7,0.7,0.9,0.4,0.9,0.7,0.7,1.0,0.6,0.4,0.8,0.8,0.0,7.0,3.2,0,-2,0,-3,-1,0.3293560606060606,1,1,6,7,7,7,7,5,7,2.6666666666666665,5.944444444444444
43,7,7,7,4,4,2,5,1,5,2,5,2,5,0.8,0.6,0.4,0.8,0.2,0.9,0.8,0.7,0.9,0.6,0.4,0.8,0.9,0.1,7.0,3.5,1,2,3,-3,4,0.32878787878787885,3,2,3,3,6,6,2,6,5,2.6666666666666665,4.611111111111112
47,5,7,7,2,4,1,1,4,5,3,4,4,5,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.5,0.7,0.5,0.7,0.8,0.6,6.333333333333333,3.3,3,1,3,3,1,0.3632575757575758,3,2,5,8,9,9,9,8,8,3.3333333333333335,7.722222222222222
48,4,7,5,2,4,1,2,4,5,1,4,2,3,0.8,0.7,0.8,0.7,0.9,0.8,0.7,0.7,1.0,0.9,0.5,0.9,0.8,0.4,5.333333333333333,2.8,3,3,3,0,-1,0.4308712121212121,2,2,1,7,8,9,5,7,6,1.6666666666666667,6.111111111111111
53,6,7,4,3,3,2,4,4,4,1,4,1,4,0.7,0.8,0.7,0.5,1.0,1.0,0.9,0.8,0.8,0.8,0.7,1.0,0.9,0.6,5.666666666666667,3.0,1,2,2,-3,0,0.46590909090909094,1,1,3,6,7,8,7,8,8,1.6666666666666667,6.611111111111111
55,4,7,5,4,3,2,3,3,4,3,4,3,4,0.6,0.6,0.5,0.8,0.8,0.8,0.7,0.6,1.0,0.7,0.6,1.0,1.0,0.6,5.333333333333333,3.3,0,0,2,0,1,0.47462121212121217,1,1,1,6,6,3,2,6,2,1.0,3.3333333333333335
58,6,7,6,1,5,2,3,4,4,1,4,1,4,0.8,0.8,0.7,0.9,0.7,0.6,0.6,0.7,0.3,0.8,0.3,0.5,0.4,0.2,6.333333333333333,2.9,3,4,2,-2,0,0.22310606060606059,5,4,5,7,7,8,7,7,6,4.666666666666667,6.611111111111111
61,7,7,7,4,4,3,5,4,4,2,3,1,4,0.8,0.9,0.8,0.9,1.0,1.0,0.9,1.0,0.2,0.7,0.1,0.9,0.6,0.3,7.0,3.4,0,2,0,-4,0,0.20738636363636365,1,1,4,5,7,6,8,7,7,2.0,6.166666666666667
64,7,7,6,2,4,4,4,3,4,2,4,2,3,0.6,0.5,0.5,0.7,0.5,1.0,0.6,0.9,0.8,0.6,0.8,0.8,0.8,0.3,6.666666666666667,3.2,2,2,0,-2,0,0.4104166666666667,5,5,7,8,9,9,8,8,8,5.666666666666667,7.944444444444444
